Consumer Brand,UML Id,Name,Country,Province,District,Latitude,Longitude,Parent Company,Parent Group,RSPO
Colgate,PO1000000019,Sedenak,Malaysia,Johor,Kulaijaya,1.730858,103.538323,Epa Management Sdn Bhd,Keck Seng,"RSPO Certified, MB"
Colgate,PO1000000019,Sedenak,Malaysia,Johor,Kulaijaya,1.730858,103.538323,Epa Management Sdn Bhd,Keck Seng (Malaysia) Berhad,"RSPO Certified, MB"
Colgate,PO1000000019,Sedenak,Malaysia,Johor,Kulaijaya,1.730858,103.538323,Epa Management Sdn Bhd,Sime Darby Plantation Berhad,"RSPO Certified, MB"
Colgate,PO1000000021,Buatan I,Indonesia,Riau,Siak,0.4344444,101.825,Inti Indosawit Subur,Aaa,"RSPO Certified, MB"
Colgate,PO1000000052,Pamol Sabah,Malaysia,Sabah,Beluran,6.002431,117.398389,Pamol Estates (Sabah) Sdn Bhd,Keck Seng,"RSPO Certified, IP"
Colgate,PO1000000063,Binuang (Sou 28),Malaysia,Sabah,Kunak,4.704457,118.060186,Sime Darby Plantation Bhd,Sime Darby Oils,"RSPO Certified, IP"
Colgate,PO1000000063,Binuang (Sou 28),Malaysia,Sabah,Kunak,4.704457,118.060186,Sime Darby Plantation Bhd,Wilmar International Ltd,"RSPO Certified, IP"
Colgate,PO1000000064,Merotai (Sou 30),Malaysia,Sabah,Tawau,4.369347,117.832905,Sime Darby Plantation Bhd,Sime Darby Oils,"RSPO Certified, MB"
Colgate,PO1000000064,Merotai (Sou 30),Malaysia,Sabah,Tawau,4.369347,117.832905,Sime Darby Plantation Bhd,Wilmar International Ltd,"RSPO Certified, MB"
Colgate,PO1000000065,Sandakan Bay (Sou 26),Malaysia,Sabah,Sandakan,5.641362,118.166868,Sime Darby Plantation Bhd,Sime Darby Oils,"RSPO Certified, MB"
Colgate,PO1000000091,Saremas 1,Malaysia,Sarawak,Miri,3.524921,113.744412,Saremas Sdn Bhd,Wilmar International Ltd,"RSPO Certified, MB"
Colgate,PO1000000093,Saremas 2,Malaysia,Sarawak,Miri,3.450453,113.765561,Saremas Sdn Bhd,Wilmar International Ltd,"RSPO Certified, IP"
Colgate,PO1000000094,Gomali,Malaysia,Johor,Segamat,2.611826,102.678656,Ioi Corporation Berhad,Keck Seng,"RSPO Certified, IP"
Colgate,PO1000000094,Gomali,Malaysia,Johor,Segamat,2.611826,102.678656,Ioi Corporation Berhad,Keck Seng (Malaysia) Berhad,"RSPO Certified, IP"
Colgate,PO1000000094,Gomali,Malaysia,Johor,Segamat,2.611826,102.678656,Ioi Corporation Berhad,Sime Darby Plantation Berhad,"RSPO Certified, IP"
Colgate,PO1000000095,Bukit Maradja,Indonesia,Sumatera Utara,Simalungun,3.012294,99.235572,Eastern Sumatra Indonesia,Gar,"RSPO Certified, IP"
Colgate,PO1000000097,East (Sou 8),Malaysia,Selangor,Kuala Langat,2.883333,101.436136,Sime Darby Plantation Bhd,Keck Seng,"RSPO Certified, IP"
Colgate,PO1000000097,East (Sou 8),Malaysia,Selangor,Kuala Langat,2.883333,101.436136,Sime Darby Plantation Bhd,Keck Seng (Malaysia) Berhad,"RSPO Certified, IP"
Colgate,PO1000000097,East (Sou 8),Malaysia,Selangor,Kuala Langat,2.883333,101.436136,Sime Darby Plantation Bhd,Sime Darby Plantation Berhad,"RSPO Certified, IP"
Colgate,PO1000000097,East (Sou 8),Malaysia,Selangor,Kuala Langat,2.883333,101.436136,Sime Darby Plantation Bhd,Sime Darby Oils,"RSPO Certified, IP"
Colgate,PO1000000098,Tanah Merah (Sou 14),Malaysia,Negeri Sembilan,Port Dickson,2.655278,101.792778,Sime Darby Plantation Bhd,Keck Seng,"RSPO Certified, IP"
Colgate,PO1000000098,Tanah Merah (Sou 14),Malaysia,Negeri Sembilan,Port Dickson,2.655278,101.792778,Sime Darby Plantation Bhd,Keck Seng (Malaysia) Berhad,"RSPO Certified, IP"
Colgate,PO1000000098,Tanah Merah (Sou 14),Malaysia,Negeri Sembilan,Port Dickson,2.655278,101.792778,Sime Darby Plantation Bhd,Sime Darby Plantation Berhad,"RSPO Certified, IP"
Colgate,PO1000000098,Tanah Merah (Sou 14),Malaysia,Negeri Sembilan,Port Dickson,2.655278,101.792778,Sime Darby Plantation Bhd,Sime Darby Oils,"RSPO Certified, IP"
Colgate,PO1000000099,Perlabian,Indonesia,Sumatera Utara,Labuhanbatu Selatan,2.061383,100.081222,Tolan Tiga Indonesia,Gar,"RSPO Certified, IP"
Colgate,PO1000000103,West (Sou 9),Malaysia,Selangor,Kuala Langat,2.905,101.361306,Sime Darby Plantation Bhd,Keck Seng,"RSPO Certified, IP"
Colgate,PO1000000103,West (Sou 9),Malaysia,Selangor,Kuala Langat,2.905,101.361306,Sime Darby Plantation Bhd,Keck Seng (Malaysia) Berhad,"RSPO Certified, IP"
Colgate,PO1000000103,West (Sou 9),Malaysia,Selangor,Kuala Langat,2.905,101.361306,Sime Darby Plantation Bhd,Sime Darby Plantation Berhad,"RSPO Certified, IP"
Colgate,PO1000000103,West (Sou 9),Malaysia,Selangor,Kuala Langat,2.905,101.361306,Sime Darby Plantation Bhd,Sime Darby Oils,"RSPO Certified, IP"
Colgate,PO1000000104,Sungai Dingin (Sou 1),Malaysia,Kedah,Kulim,5.39432,100.71117,Sime Darby Plantation Bhd,Keck Seng,"RSPO Certified, MB"
Colgate,PO1000000104,Sungai Dingin (Sou 1),Malaysia,Kedah,Kulim,5.39432,100.71117,Sime Darby Plantation Bhd,Keck Seng (Malaysia) Berhad,"RSPO Certified, MB"
Colgate,PO1000000104,Sungai Dingin (Sou 1),Malaysia,Kedah,Kulim,5.39432,100.71117,Sime Darby Plantation Bhd,Sime Darby Plantation Berhad,"RSPO Certified, MB"
Colgate,PO1000000104,Sungai Dingin (Sou 1),Malaysia,Kedah,Kulim,5.39432,100.71117,Sime Darby Plantation Bhd,Sime Darby Oils,"RSPO Certified, MB"
